GRANULATED PEANUTS,4# 
32 OZ SABERT BOWLS,CS 
LIDS FOR 32 OZ SABERT BOWL,CS 
16 OZ BARREL BOWLS,CS 
LIDS for 16 OZ BARREL BOWLS,CS 
CHOPSTICKS,CS 
2 OZ CUPS,CS 
RECTANGULAR TRAYS PRIMEWARE,CS 
RECTANGULAR TRAY TOPS,CS 
LARGE LATEX POWDER FREE GLOVES,CS 
SMALL LATEX POWDER FREE GLOVES,CS 
"18"" PLASTIC WRAP",CS 
HEAVY DUTY ALUMINUM FOIL,EACH 
MASK,CS 
STEEL WOOL,CS 
1/2 SIZE ALUMINUM STEAMPANS,CS 
TOPS FOR 1/2 SIZE ALUMINUM STEAMPAN,CS 
CAN LINERS,CS 
MULTIFOLD PAPER TOWELS,CS 
DEGREASER,CS 
MOPPING LIQUID,CS 
DISSOLVABLE LABELS,CS 
USE FIRST STICKERS,ROLL 
SERVING SPOONS,CS 
COMPOSTABLE KNIVES,CS 
COMPOSTABLE SPOONS,CS 
COMPOSTABLE FORKS,CS 
COMPOSTABLE WRAPPED UTENSILS,CS 
T-SHIRT BAGS,CS 
BI-FOLD NAPKINS,CS 
9 OZ DRINKING CUPS,CS 
16 OZ DRINKING CUPS,CS 
LIDS FOR 16 OZ DRINKING CUPS,CS 
SRIRACHA SAUCE BOTTLES,CS 
SRIRACHA PACKETS,CS 
STRAWS,CS 
SUGAR PACKETS,CS
