CANDIED PECANS,CS 
DRIED CRANBERRIES,CS 
PANCAKE SYRUP,CS 
"DOLE PINEAPPLE SLICES(IN PINEAPPLE JUICE, NOT HEAVY SYRUP)",CS 
COCONUT MILK,CS 
SAMBAL,CS 
CHILI OIL,BOTTLE 
CONCORDE GRAPE JUICE CONCENTRATE,CS 
FOILSHEETS 10.75X12,CS 
KIKOMAN SOY SAUCE,TUBS 
RICE WINE VINEGAR,CS 
SUGAR,25# 
DIAMOND CRYSTAL KOSHER SALT,CS 
GROUND BLACK PEPPER,5# 
CANOLA OIL,CS 
FRYER OIL,CS 
FROZEN OJ CONCENTRATE,CS 
SPAM,CS 
DIAL HANDSOAP,CS 
FRIES,CS 
WHOLE BLACK PEPPER,BOTTLE 
QUANT SANITIZER TABLETS,CS 
STAINLESS STEEL CLEANER,CS 
EASY-OFF CLEANER,CS 
2 GALLON ZIPLOCK BAGS,CS 
HAIRNETS,BOX 
GREEN SCOURING PADS,CS 
1 GALLON ZIPLOCK BAGS,CS 
